"id";"title";"slug";"acronym";"url";"organization";"organization_id";"owner";"owner_id";"description";"description_short";"frequency";"license";"temporal_coverage.start";"temporal_coverage.end";"spatial.granularity";"spatial.zones";"featured";"created_at";"last_modified";"tags";"archived";"resources_count";"main_resources_count";"resources_formats";"harvest.backend";"harvest.domain";"harvest.created_at";"harvest.modified_at";"harvest.remote_url";"quality_score";"metric.discussions";"metric.discussions_open";"metric.reuses";"metric.reuses_by_months";"metric.dataservices";"metric.followers";"metric.followers_by_months";"metric.views";"metric.resources_downloads"
| `isigeo_iduser` |  | `int4` |
Pour plus d’informations, consultez [la métadonnée sur le catalogue Isogeo](https://open.isogeo.com/s/dfea79f9daa941fbb7fc9248309dc1c4/THU_tcV6SuOT_DsWqcQNzDenuhTV0/r/42af535aeac44d648e9cabb75e9f6e4b).";"";"semiannual";"Licence Ouverte / Open Licence version 2.0";"";"";"";"";False;"2021-11-29T19:02:40.098000";"2025-11-21T00:00:00";"creche,donnees-ouvertes,ehpad,enfant,equipements-publics,handicap,seniors,social";False;2;2;"zip,geojson";"DCAT";"dcat.isogeo.com";"";"2025-11-21T00:00:00";"";"0.67";0;0;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";1;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";2813;319
"61a515c0d1a040ba8f4ed79c";"Sectorisation scolaire maternelle - Bayonne";"sectorisation-scolaire-maternelle-bayonne-1";"";"https://www.data.gouv.fr/datasets/sectorisation-scolaire-maternelle-bayonne-1";"Ville de Bayonne";"58d53c4688ee380aeea5e932";"";"";"Secteurs scolaires pour les écoles maternelles de Bayonne.
**Contexte de collecte**
Depuis la rentrée 2012, la ville de Bayonne a adopté le principe d’une sectorisation des écoles. Ainsi, l’affectation des jeunes bayonnais s’effectue dans l’école du périmètre correspondant à l’adresse du domicile du ou des représentant(s) légal(aux), dans la limite de la capacité d’accueil de l’établissement concerné.
**Attributs**
| Champ | Alias | Type |
| --- | --- | --- |
| `GC_KEY` |  | `number` |
| `CAPACITE_LOCAUX` | Capacité locaux | `number` |
| `AFFICHAGE` | Affichage | `varchar2` |
| `NOM` | Nom | `varchar2` |
| `DATE_SAISIE` |  | `date` |
Pour plus d’informations, consultez [la métadonnée sur le catalogue Isogeo](https://open.isogeo.com/s/dfea79f9daa941fbb7fc9248309dc1c4/THU_tcV6SuOT_DsWqcQNzDenuhTV0/r/e1e3ffff07ff462da09652fe0aac24b2).";"";"unknown";"Licence Ouverte / Open Licence version 2.0";"";"";"";"";False;"2021-11-29T19:02:40.096000";"2024-10-10T00:00:00";"donnees-ouvertes,ecole-maternelle,ecole-primaire,ecoles,enseignement,grand-public,sectorisation";False;2;2;"zip,geojson";"DCAT";"dcat.isogeo.com";"";"2024-10-10T00:00:00";"";"0.44";0;0;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";0;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";1977;234
"61a515bf1261c985b6993396";"Orthophotographie - Petit et Grand Bayonne - 2019";"orthophotographie-petit-et-grand-bayonne-2019-1";"";"https://www.data.gouv.fr/datasets/orthophotographie-petit-et-grand-bayonne-2019-1";"Ville de Bayonne";"58d53c4688ee380aeea5e932";"";"";"Orthophotographie du Petit et du Grand Bayonne prise par ""L'Europe vue du ciel"" le 12 septembre 2019.
**Contexte de collecte**
Prises de vue commandées par la ville de Bayonne pour la réalisation d'une maquette 3D du Petit et Grand Bayonne.
Un des livrables étant une orthophoto de ce périmètre.
**Méthode de collecte**
La prise de vue a été réalisée par ""L'Europe vue du ciel"" le 12 septembre 2019 au moyen d'un hélicoptère Robinson 44 de la société TASO FOCALE 33 et d'une caméra numérique PHASEONE de 100 millions de pixels.
Il en résulte une résolution (taille du pixel) de 5 cm. La précision est de 10 cm.
Pour plus d’informations, consultez [la métadonnée sur le catalogue Isogeo](https://open.isogeo.com/s/dfea79f9daa941fbb7fc9248309dc1c4/THU_tcV6SuOT_DsWqcQNzDenuhTV0/r/c6adc0a478ed4cb496ca8958deea1765).";"";"unknown";"Licence Ouverte / Open Licence version 2.0";"";"";"";"";False;"2021-11-29T19:02:39.863000";"2021-11-29T19:02:39.863000";"2019,donnees-ouvertes,ortho,ortho-imagerie,orthophotographie,raster";False;1;1;"jp2";"DCAT";"dcat.isogeo.com";"";"";"";"0.44";0;0;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";0;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";2866;363
"61a515bfc57cbaa121993395";"Zones de port de masque obligatoire - Covid19 - Bayonne";"zones-de-port-de-masque-obligatoire-covid19-bayonne-1";"";"https://www.data.gouv.fr/datasets/zones-de-port-de-masque-obligatoire-covid19-bayonne-1";"Ville de Bayonne";"58d53c4688ee380aeea5e932";"";"";"Zones où le port du masque est obligatoire à Bayonne conformément à l'arrêté préfectoral n°64-2021-12-30-00007 portant obligation du port du masque visant à limiter la propagation du virus SARS-Cov-2 dans le département des Pyrénées-Atlantiques.
**Contexte de collecte**
[Arrêté préfectoral n°64-2021-12-30-00007](https://www.bayonne.fr/fileadmin/Actualit%C3%A9s/Sant%C3%A9/Covid_19/Arr%C3%AAt%C3%A9/20211230arr%C3%AAt%C3%A9masque.pdf) imposant le port du masque de 8h à 22h, dans certains espaces publics à toute personne de onze ans ou plus, jusqu’au 11 février 2022 inclus.
Cet arrêté a été abrogé à compter du 2 février 2022.
**Méthode de collecte**
Cette couche de surfaces contient les rues où le port du masque est obligatoire (zone tampon autour de l'axe de la voie).
**Attributs**
| Champ | Alias | Type |
| --- | --- | --- |
| `ogc_fid` | Identifiant unique | `serial,PrimaryKey` |
| `nom` | Nom | `varchar` |
| `typologie` | Typologie | `varchar` |
| `isigeo_synchro_statut` | (Usage interne) | `varchar` |
| `isigeo_obj` | (Usage interne) | `int4` |
| `isigeo_iduser` | (Usage interne) | `int4` |
| `isigeo_user` | (Usage interne) | `varchar` |
| `isigeo_synchro_lock` | (Usage interne) | `varchar` |
| `isigeo_lot` | (Usage interne) | `varchar` |
Pour plus d’informations, consultez [la métadonnée sur le catalogue Isogeo](https://open.isogeo.com/s/dfea79f9daa941fbb7fc9248309dc1c4/THU_tcV6SuOT_DsWqcQNzDenuhTV0/r/bd94bd89caa84ebf8c463a9069902709).";"";"unknown";"Licence Ouverte / Open Licence version 2.0";"2021-12-31";"2022-02-02";"";"";False;"2021-11-29T19:02:39.856000";"2021-07-30T00:00:00";"covid19,donnees-ouvertes,masque,restriction";False;2;2;"zip,geojson";"DCAT";"dcat.isogeo.com";"";"2021-07-30T00:00:00";"";"0.56";0;0;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";0;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";2385;287
"61a515bf7df9f111464ed79a";"Sanisettes et toilettes publiques - Bayonne";"sanisettes-et-toilettes-publiques-bayonne-1";"";"https://www.data.gouv.fr/datasets/sanisettes-et-toilettes-publiques-bayonne-1";"Ville de Bayonne";"58d53c4688ee380aeea5e932";"";"";"Sanisettes et toilettes publiques de Bayonne.
**Méthode de collecte**
Import d'un plan Autocad géré par la DIEP.
**Attributs**
| Champ | Alias | Type |
| --- | --- | --- |
| `ogc_fid` |  | `serial,PrimaryKey` |
| `isigeo_obj` |  | `int4` |
| `isigeo_lot` |  | `varchar` |
| `isigeo_synchro_statut` |  | `varchar` |
| `nom` |  | `varchar` |
| `code_insee` |  | `int4` |
| `isigeo_synchro_lock` |  | `varchar` |
| `isigeo_statut` |  | `varchar` |
| `isigeo_iduser` |  | `int4` |
| `isigeo_user` |  | `varchar` |
| `isigeo_lock` |  | `varchar` |
Pour plus d’informations, consultez [la métadonnée sur le catalogue Isogeo](https://open.isogeo.com/s/dfea79f9daa941fbb7fc9248309dc1c4/THU_tcV6SuOT_DsWqcQNzDenuhTV0/r/e105ac7926584197846dcd0642eb9024).";"";"unknown";"Licence Ouverte / Open Licence version 2.0";"";"";"";"";False;"2021-11-29T19:02:39.674000";"2023-03-17T00:00:00";"donnees-ouvertes,grand-public,mobilier-urbain,proprete";False;2;2;"zip,geojson";"DCAT";"dcat.isogeo.com";"";"2023-03-17T00:00:00";"";"0.44";0;0;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";0;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";2443;209
"61a515bf39004708b94ed79a";"Sectorisation scolaire élémentaire - Bayonne";"sectorisation-scolaire-elementaire-bayonne-1";"";"https://www.data.gouv.fr/datasets/sectorisation-scolaire-elementaire-bayonne-1";"Ville de Bayonne";"58d53c4688ee380aeea5e932";"";"";"Secteurs pour les écoles élémentaires de Bayonne.
**Contexte de collecte**
Depuis la rentrée 2012, la ville de Bayonne a adopté le principe d’une sectorisation des écoles. Ainsi, l’affectation des jeunes bayonnais s’effectue dans l’école du périmètre correspondant à l’adresse du domicile du ou des représentant(s) légal(aux), dans la limite de la capacité d’accueil de l’établissement concerné.
**Attributs**
| Champ | Alias | Type |
| --- | --- | --- |
| `GC_KEY` |  | `number` |
| `NOM` | Nom | `varchar2` |
| `CAPACITE_LOCAUX` | Capacité locaux | `number` |
| `AFFICHAGE` | Affichage | `varchar2` |
| `DATE_SAISIE` |  | `date` |
Pour plus d’informations, consultez [la métadonnée sur le catalogue Isogeo](https://open.isogeo.com/s/dfea79f9daa941fbb7fc9248309dc1c4/THU_tcV6SuOT_DsWqcQNzDenuhTV0/r/34f0ce65ac1745d18aed5080ce524675).";"";"unknown";"Licence Ouverte / Open Licence version 2.0";"";"";"";"";False;"2021-11-29T19:02:39.642000";"2024-10-10T00:00:00";"donnees-ouvertes,ecole-elementaire,ecole-primaire,ecoles,enseignement,grand-public,sectorisation";False;2;2;"zip,geojson";"DCAT";"dcat.isogeo.com";"";"2024-10-10T00:00:00";"";"0.44";0;0;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";0;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";2062;292
"61a515bfee19390a814ed7a2";"Lieux de vote - Bayonne";"lieux-de-vote-bayonne-1";"";"https://www.data.gouv.fr/datasets/lieux-de-vote-bayonne-1";"Ville de Bayonne";"58d53c4688ee380aeea5e932";"";"";"Localisation des lieux de vote correspondant aux différents [bureaux de vote](https://open.isogeo.com/s/3a1b2d5f3f6a4e2889d05fc2afd2eddf/aB-4DSaqADguMOylLdnsHTj0hLdH0/m/c1201fdd34d247d3bc56e556fe758ddc) de Bayonne.
**Contexte de collecte**
selon arrêté préfectoral en cours
**Attributs**
| Champ | Alias | Type |
| --- | --- | --- |
| `NOM_ABREGE` | Nom abrégé | `varchar2` |
| `CODE_INSEE` | Code INSEE | `number` |
| `DATE_DE_SAISIE` | Date de saisie | `date` |
| `GC_KEY` |  | `number` |
| `LOCALISATION` | Localisation | `varchar2` |
| `NOM` | Nom | `varchar2` |
| `ADRESSE` | Adresse | `varchar2` |
Pour plus d’informations, consultez [la métadonnée sur le catalogue Isogeo](https://open.isogeo.com/s/dfea79f9daa941fbb7fc9248309dc1c4/THU_tcV6SuOT_DsWqcQNzDenuhTV0/r/81e0260625874ab48d7c3a646a529c06).";"";"unknown";"Licence Ouverte / Open Licence version 2.0";"";"";"";"";False;"2021-11-29T19:02:39.637000";"2021-03-10T00:00:00";"donnees-ouvertes,elections,vote";False;2;2;"zip,geojson";"DCAT";"dcat.isogeo.com";"";"2021-03-10T00:00:00";"";"0.44";0;0;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";0;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";1958;168
"61a515bfccea66e0164ed7a1";"Voies à sens uniques - Bayonne";"voies-a-sens-uniques-bayonne-1";"";"https://www.data.gouv.fr/datasets/voies-a-sens-uniques-bayonne-1";"Ville de Bayonne";"58d53c4688ee380aeea5e932";"";"";"Linéaires des voies à sens unique de Bayonne (le sens de saisie de la ligne correspond au sens de circulation).
**Attributs**
| Champ | Alias | Type |
| --- | --- | --- |
| `isigeo_user` |  | `varchar` |
| `gestionnaire` |  | `varchar` |
| `isigeo_iduser` |  | `int4` |
| `rivoli` |  | `varchar` |
| `ogc_fid` |  | `serial` |
| `arrete` |  | `varchar` |
| `nom` |  | `varchar` |
| `isigeo_lock` |  | `varchar` |
| `isigeo_statut` |  | `varchar` |
| `isigeo_synchro_statut` |  | `varchar` |
| `isigeo_synchro_lock` |  | `varchar` |
| `isigeo_obj` |  | `int4` |
| `isigeo_lot` |  | `varchar` |
Pour plus d’informations, consultez [la métadonnée sur le catalogue Isogeo](https://open.isogeo.com/s/dfea79f9daa941fbb7fc9248309dc1c4/THU_tcV6SuOT_DsWqcQNzDenuhTV0/r/87f3f72214dc4ab1868fe030b704ed43).";"";"semiannual";"Licence Ouverte / Open Licence version 2.0";"";"";"";"";False;"2021-11-29T19:02:39.620000";"2024-06-07T00:00:00";"deplacements,donnees-ouvertes,sens-interdit,sens-unique,voirie";False;2;2;"zip,geojson";"DCAT";"dcat.isogeo.com";"";"2024-06-07T00:00:00";"";"0.56";0;0;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";0;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";1883;149
"61a515bfde601f3b6e4ed7a0";"Commerces ouverts pendant le confinement - Covid19 - Bayonne";"commerces-ouverts-pendant-le-confinement-covid19-bayonne-1";"";"https://www.data.gouv.fr/datasets/commerces-ouverts-pendant-le-confinement-covid19-bayonne-1";"Ville de Bayonne";"58d53c4688ee380aeea5e932";"";"";"Commerces ouverts pendant la période de confinement de l’épidémie de Covid19 à Bayonne, c'est-à-dire du 16/03/2020 au 10/05/2020) et qui se sont signalés comme tels sur bayonne.fr.
A partir du 11/05/2020, les données ont été rapatriées dans [caresteouvert.fr](https://www.caresteouvert.fr/@43.492628,-1.474878,15.52) et mises à jour uniquement par ce biais.
**Contexte de collecte**
Les commerces ouverts se signalent via un formulaire sur bayonne.fr en indiquant leur nom, catégorie et coordonnées (téléphone, site internet...). Un géocodage est fait à l'adresse pour géolocaliser ces commerces.
**Attributs**
| Champ | Alias | Type |
| --- | --- | --- |
| `ogc_fid` | ogc_fid | `serial,PrimaryKey` |
| `categorie` | Catégorie | `varchar` |
| `idcategorie` |  | `int4` |
| `enseigne` | Enseigne | `varchar` |
| `numero` | Numéro | `varchar` |
| `voie_nom` | Nom de voie | `varchar` |
| `telephone` | Téléphone | `varchar` |
| `portable` | Portable | `varchar` |
| `courriel` | Courriel | `varchar` |
| `site_internet` | Site internet | `varchar` |
| `facebook` | Facebook | `varchar` |
| `twitter` | Twitter | `varchar` |
| `instagram` | Instagram | `varchar` |
| `date` | Date de saisie | `timestamp` |
| `date_der_maj` | Date dernière mise à jour | `timestamp` |
| `adresse_concat` | Adresse concaténée | `varchar` |
| `complement` | Complément | `varchar` |
| `ban_type` | BAN Type | `varchar` |
| `ban_score` | BAN Score | `numeric` |
| `isigeo_synchro_statut` |  | `varchar` |
| `isigeo_obj` |  | `int4` |
| `isigeo_iduser` |  | `int4` |
| `isigeo_user` |  | `varchar` |
| `isigeo_synchro_lock` |  | `varchar` |
| `isigeo_lot` |  | `varchar` |
Pour plus d’informations, consultez [la métadonnée sur le catalogue Isogeo](https://open.isogeo.com/s/dfea79f9daa941fbb7fc9248309dc1c4/THU_tcV6SuOT_DsWqcQNzDenuhTV0/r/ee5f21403cd743bd873ad79cb453307c).";"";"daily";"Licence Ouverte / Open Licence version 2.0";"2020-03-26";"2020-05-10";"";"";False;"2021-11-29T19:02:39.610000";"2020-05-04T00:00:00";"2020,commerce,covid19,donnees-ouvertes";False;1;1;"zip";"DCAT";"dcat.isogeo.com";"";"2020-05-04T00:00:00";"";"0.67";0;0;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";0;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";1747;108
"61a515bf84b460c93c4ed7a1";"Ralentisseurs - Bayonne";"ralentisseurs-bayonne-1";"";"https://www.data.gouv.fr/datasets/ralentisseurs-bayonne-1";"Ville de Bayonne";"58d53c4688ee380aeea5e932";"";"";"Localisation des ralentisseurs à Bayonne sous forme de points.
**Contexte de collecte**
Généralisation des zones 30 en fin d'année 2019.
**Méthode de collecte**
Saisie sur photo aérienne et main levée.
**Attributs**
| Champ | Alias | Type |
| --- | --- | --- |
| `ogc_fid` |  | `serial` |
| `remarque` | Remarque | `text` |
| `photo` | Photo | `varchar` |
| `type_ralentisseur` | Type de ralentisseur | `varchar` |
| `code_insee` | Code INSEE | `int4` |
| `verifie` | Vérifié | `int4` |
| `idtype_ralentisseur` |  | `int4` |
| `adr_rue` |  | `varchar` |
| `idadr_rue` |  | `int4` |
Pour plus d’informations, consultez [la métadonnée sur le catalogue Isogeo](https://open.isogeo.com/s/dfea79f9daa941fbb7fc9248309dc1c4/THU_tcV6SuOT_DsWqcQNzDenuhTV0/r/86683bb2ed0f4cb28d611ea37ba2a0b3).";"";"unknown";"Licence Ouverte / Open Licence version 2.0";"";"";"";"";False;"2021-11-29T19:02:39.603000";"2024-09-12T00:00:00";"donnees-ouvertes,limitations-de-vitesse,ralentisseur,vitesse,voirie,zone-30";False;2;2;"zip,geojson";"DCAT";"dcat.isogeo.com";"";"2024-09-12T00:00:00";"";"0.44";0;0;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";0;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";1694;224
"61a515bfd1a040ba8f4ed79b";"Périmètres de limitation d'implantation des débits de boissons - Bayonne";"perimetres-de-limitation-dimplantation-des-debits-de-boissons-bayonne-1";"";"https://www.data.gouv.fr/datasets/perimetres-de-limitation-dimplantation-des-debits-de-boissons-bayonne-1";"Ville de Bayonne";"58d53c4688ee380aeea5e932";"";"";"Périmètres portant fixation de la distance minimale d'implantation des débits de boissons. Ils sont annexés à l'arrêté n° 64-2019-05-15-006 du 15 mai 2019. 
**Contexte de collecte**
L'arrêté n° 64-2019-05-15-006 du 15 mai 2019 a remplacé le précédent arrêté (2015-180-018 du 29 juin 2015).
**Attributs**
| Champ | Alias | Type |
| --- | --- | --- |
| `ogc_fid` | Identifiant | `serial` |
| `arrete` | Arrêté | `varchar` |
| `nom` | Nom | `varchar` |
| `isigeo_synchro_statut` |  | `varchar` |
| `isigeo_obj` |  | `int4` |
| `isigeo_iduser` |  | `int4` |
| `isigeo_user` |  | `varchar` |
| `isigeo_synchro_lock` |  | `varchar` |
| `isigeo_lot` |  | `varchar` |
Pour plus d’informations, consultez [la métadonnée sur le catalogue Isogeo](https://open.isogeo.com/s/dfea79f9daa941fbb7fc9248309dc1c4/THU_tcV6SuOT_DsWqcQNzDenuhTV0/r/14584c4a93e049928f908c35d7250dcc).";"";"unknown";"Licence Ouverte / Open Licence version 2.0";"";"";"";"";False;"2021-11-29T19:02:39.591000";"2023-05-12T00:00:00";"affaires-juridiques,boisson,debit-de-boisson,donnees-ouvertes,licences,limitation";False;2;2;"zip,geojson";"DCAT";"dcat.isogeo.com";"";"2023-05-12T00:00:00";"";"0.44";0;0;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";0;0;"{'2024-08': 0, '2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0}";2212;305
"61a515bf1261c985b6993395";"Emplacement des boîtes à livres - Bayonne";"emplacement-des-boites-a-livres-bayonne-1";"";"https://www.data.gouv.fr/datasets/emplacement-des-boites-a-livres-bayonne-1";"Ville de Bayonne";"58d53c4688ee380aeea5e932";"";"";"La Ville de Bayonne a installé des boîtes à livres réparties en différents points particulièrement fréquentés de Bayonne.
Les boîtes à livres appartiennent à tous et sont à disposition librement, gratuitement et sans horaires. Le principe est simple : on prend un livre, on en dépose un, on peut le garder ou le remettre et même, pourquoi pas, y ajouter un mot à l’intérieur pour le futur lecteur.
**Contexte de collecte**
Les sept premières boîtes à livres ont été installées en février 2018.
**Méthode de collecte**
Positionnement approximatif sur l'orthophoto.
**Attributs**
| Champ | Alias | Type |
